xh,高等数学i1,线性代数与解析几何ii,大学物理实验i1,大学物理ii1,高等数学i2,程序设计基础,工程制图iii,电路,概率统计与随机过程,数据结构与算法i,离散数学a,大学物理实验i2,数据结构与程序设计专题实验,面向对象程序设计,大学物理ii2,模拟电子技术基础,形式语言与编译,电子技术实验1,编译器设计专题实验,电子技术实验2,数字逻辑电路,汇编语言,数学建模ii,数理逻辑,计算机组成,操作系统原理i,计算机网络原理,操作系统设计专题实验,计算机组成与结构专题实验,人工智能,计算机图形学,数据库系统,计算机网络专题实验,软件工程,计算机系统综合设计实验,软件定义网络,毕业设计（论文）
99b4ac43b6aab18e2d134c2a1db4ffe5,90,88,87,96,93,86,74,92,88,85,90,87,95,93,93,95,77,87,71,92,93,88,98,,79,86,77,98,100,70,,85,87,82,87,86,87
fb4e555bf2e3fc8711e304ef69aa2223,,,,,,,,81,,,,,,,,,,,,,89,73,,,,,,,,,,78,,78,,,
cc7c902bf5d72c5a3648a39a4e7fbfd6,81,93,83,85,76,79,80,77,81,88,85,83,87,95,84,76,70,70,62,87,79,79,96,,66,77,84,87,90,,74,72,76,61,79,75,70
8b667608b4135af8b43558456763170a,77,85,87,98,80,79,66,92,76,86,79,87,92,92,86,75,63,92,78,92,73,72,90,82,72,68,73,92,95,56,,74,87,64,87,76,73
559dfad4096623aa0c713ad11ebd54dc,79,,79,90,79,77,79,85,85,85,85,87,91,93,86,93,82,92,84,87,87,83,98,89,69,86,89,92,97,84,92,76,87,80,92,87,83
98495be48a2a399d4872235665dfbe1d,73,81,87,89,83,73,71,75,73,76,79,87,83,88,77,85,90,87,77,98,71,74,97,,79,77,74,83,95,83,87,76,87,73,87,91,87
6c86681f5f401a34e8d7b5bb4b3848a7,86,85,87,,86,96,78,77,60,78,78,83,88,86,,83,62,98,74,76,79,71,,,60,69,73,92,95,,84,70,76,74,92,,87
3f1b119f0eb10b8b6b54a64b16e1a804,,,87,90,,100,,82,84,92,82,87,77,97,88,97,89,92,76,92,91,94,99,,90,88,94,92,100,95,92,86,98,90,87,,87
3c9af006e568bec07e348347765896df,,,,,,,,,70,84,,,91,87,,,,,,,,,96,,83,87,90,98,,,77,73,,,,,
27ec443c9eb656b6841766e4dac0ae10,84,,76,92,89,98,94,84,78,86,85,79,95,95,86,88,85,83,71,76,79,78,84,,82,86,85,76,95,,87,78,87,80,98,85,83
1be7849405bd910f0c98168061614031,87,83,83,94,83,92,81,94,71,86,90,87,86,87,79,90,78,87,76,90,79,89,95,87,81,84,75,92,90,,69,79,83,71,62,85,87
78535b641f1c56b5772835c588ef8748,63,,92,88,70,96,95,74,74,81,89,92,92,81,85,96,72,98,67,92,76,69,99,86,67,94,84,73,93,72,94,77,79,65,92,79,79
5896fbbc55a8f9fe60b66200201b37a0,80,60,67,60,85,61,61,63,63,83,67,83,92,86,69,68,72,87,67,87,63,,93,85,60,63,60,66,92,60,79,70,73,60,92,,87
2a578764b6edd61563b717705d5c45fc,89,93,87,,86,99,87,91,84,84,90,87,87,89,,92,83,92,76,87,89,90,,90,86,87,77,92,95,88,90,76,70,73,87,,87
ca09776be826c28f6adbde27aa871286,,80,83,91,,93,,78,70,76,85,83,96,98,83,76,64,98,80,92,80,88,,77,83,80,76,92,95,68,,79,87,72,83,86,83
9bea1428f5ca90af71dc589091ad724a,95,90,87,97,93,97,91,88,88,86,92,87,96,94,94,94,84,87,85,92,87,90,,97,95,97,90,98,100,98,,84,92,84,92,94,79
0c2aa0feb01a199f62c663c7fd62feed,97,98,83,96,92,99,81,91,92,85,93,87,87,94,83,89,84,92,94,92,83,89,,90,87,86,80,98,97,72,90,81,83,81,92,,87
87e8c4b1e51d42796fdf46c6598ed2fb,85,84,83,90,78,76,71,77,71,76,74,83,87,89,88,82,80,87,75,87,83,,96,87,63,74,86,92,95,87,83,74,76,71,87,80,70
365864111fc6dc3f1a32b263076023f8,87,83,92,,70,88,71,80,83,82,83,87,89,86,,94,82,98,77,92,83,86,,93,78,74,75,87,95,80,94,75,79,75,92,81,87
98b419709afe2d31e9150c8b8c563193,67,78,,85,77,94,84,87,62,91,90,87,98,89,79,82,80,98,76,87,83,76,,95,78,91,85,83,95,92,98,88,76,80,87,86,92
ec70ff9244ffe931c842f4cea5a2644a,83,,87,89,79,88,84,83,83,83,91,83,98,92,85,91,75,92,90,92,86,76,98,92,72,80,71,92,95,75,97,81,83,67,87,85,87
260dfc5cb014027e4cb192dedbd60552,,,87,96,,88,,75,88,84,88,87,82,92,95,86,70,98,74,92,78,81,99,,77,81,87,92,95,96,99,91,76,80,98,77,87
f7a002aede37270de31c39cd0b06c0c6,,,,,,91,94,71,61,91,83,83,88,88,,86,81,98,80,83,80,84,94,87,78,77,76,92,95,91,92,72,87,78,87,82,83
906baac09c9e6222203f109029d91962,96,91,87,95,95,100,75,96,91,83,86,87,92,85,95,95,80,98,86,83,87,85,,,83,92,86,98,100,,,81,92,86,98,89,92
f3a1962385f4d550694d1de50bb3d89b,90,97,87,99,97,94,96,95,92,91,91,87,95,98,94,96,88,98,88,92,87,88,98,,89,92,88,92,100,93,93,90,92,90,98,91,92
ac648fc96aa25bf34325ab74adbef4b9,96,95,87,92,92,96,83,92,78,87,85,87,92,89,85,95,84,98,83,90,92,88,98,,88,90,89,92,95,,91,85,92,85,87,91,92
