xh,24式太极拳,专业实习II,专业实习Ⅰ,中国近现代史纲要,习近平新时代中国特色社会主义思想概论,人工智能,优化方法基础,体育-1,体育-2,体育-3,体育-4,军训,国防教育,大学化学,大学化学实验,大学物理II-1,大学物理II-2,大学物理实验I-1,大学物理实验I-2,大学英语I,大学英语III1,大学英语III2,大学计算机III,工程与社会,工程制图,形势与政策,形式语言与编译,思想道德修养与法律基础,操作系统原理I,操作系统设计专题实验,数字逻辑电路,数学建模II,数据库系统,数据结构与程序设计专题实验,数据结构与算法I,数理逻辑,概率统计与随机过程,模拟电子技术,模拟电子技术基础,毕业设计（论文）,毛泽东思想和中国特色社会主义理论体系概论,汇编语言,测控实习,生命科学基础I,电子技术实验1,电子技术实验2,电工实习,电路,离散数学A,程序设计基础,算法分析与设计,线性代数与解析几何,编译器设计专题实验,表达与交流,计算机图形学,计算机科学技术导论,计算机系统综合设计实验,计算机组成,计算机组成与结构专题实验,计算机网络专题实验,计算机网络原理,课外实践8学分,软件定义网络,软件工程,金工实习,面向对象程序设计,项目设计,马克思主义基本原理,高等数学I-1,高等数学I-2
078c82c5ebbbd7a8167696a4866dbbac,0,87,92,87.0,83,0,80,83,78,79,81,91,87,84,93,86.0,90,79,83,80,0,0,88,92,78,60,83,81,86,98,82,93.0,87,92,97,0.0,87,93,0,87,84,83,92,0,92,87,92,90,87.0,94,85,81,86,89,0,90.0,72,87,98,98,94,60,0,0,92,91,98,0,81,70
07b16240df509ff38b272fdd01fa389d,0,0,0,88.0,0,0,0,81,88,0,0,89,95,0,0,95.0,0,98,0,81,0,0,74,0,92,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,93,0,0,0,0,0.0,83,0,99,0,0,0,90.0,0,0,0,0,0,0,0,0,0,0,0,0,90,90
07d8f488c9161658aa4d13e76dcb02d6,70,96,70,80.0,0,74,62,0,0,69,0,89,64,0,0,85.0,68,82,87,0,71,73,0,91,82,60,60,68,66,98,62,0.0,74,92,74,0.0,66,0,70,83,78,66,98,67,92,79,92,61,90.0,93,80,69,79,85,0,87.0,88,80,83,76,60,60,86,77,87,92,83,81,75,80
07f309cd8bf9f1688b3ab36b93ac47de,0,0,0,81.0,83,0,0,76,82,79,77,86,77,90,92,92.0,89,98,98,0,0,0,96,0,94,0,0,0,0,0,83,88.0,0,92,94,0.0,85,95,0,0,78,95,98,0,98,98,92,94,94.0,100,91,89,0,0,0,91.0,0,0,0,0,0,0,0,0,92,0,0,85,74,79
07fb6c170d1e7fde17a27805f68394f2,0,92,92,84.0,0,68,0,0,0,85,88,85,90,0,0,0.0,0,0,87,0,82,84,0,71,65,60,84,89,77,87,62,73.0,71,81,76,77.0,63,0,61,87,74,65,62,0,87,92,87,74,80.0,75,0,0,66,87,76,0.0,87,82,95,76,65,60,79,63,92,76,76,78,0,0
082f0a9558ac9cdde7eba280919bb041,63,92,92,87.0,0,81,88,0,0,0,0,94,91,0,0,93.0,92,88,83,0,80,88,0,98,0,60,82,86,88,98,79,85.0,89,83,89,92.0,92,0,89,98,90,87,92,85,98,79,92,92,82.0,95,78,90,90,87,0,99.0,88,90,79,83,89,60,95,86,92,0,98,80,0,0
0863c6c4af519e9e17a696e26de7644d,0,0,0,87.0,85,0,0,72,83,83,79,89,84,80,97,95.0,91,98,98,0,0,0,82,0,81,0,0,0,0,0,88,94.0,0,92,99,0.0,91,96,0,0,90,0,0,0,87,92,92,89,97.0,89,82,95,0,0,0,91.0,0,0,0,0,0,0,0,0,87,95,0,91,76,80
08a6230b83182f752170b0b25c218df8,0,0,0,79.0,92,0,0,84,81,83,85,93,85,74,97,86.0,92,92,98,0,0,0,94,92,77,0,0,0,0,0,80,94.0,0,92,98,0.0,78,95,0,0,89,0,79,0,87,83,79,90,87.0,97,74,89,0,0,0,0.0,0,0,0,0,0,0,0,0,92,87,0,89,77,70
08fc64fb10cc963515743963f90d521b,63,98,87,82.0,0,93,0,0,0,0,0,74,83,0,0,85.0,91,91,87,0,78,77,0,99,82,0,67,85,86,92,74,97.0,78,0,82,0.0,98,0,79,0,85,87,92,91,87,85,87,90,78.0,89,90,96,88,79,0,86.0,87,87,98,87,69,60,90,87,87,96,98,92,90,90
091d5e8f09e6124fa908dd4a27f5dc13,0,0,79,81.0,87,89,0,80,83,74,69,86,90,0,0,89.0,92,92,98,80,0,0,79,92,84,0,82,79,92,98,83,85.0,84,83,82,0.0,88,89,0,0,88,0,83,90,92,83,92,88,87.0,73,82,75,87,0,0,94.0,0,82,92,92,86,0,0,0,87,88,0,79,69,71
