形式语言与编译,操作系统原理i,操作系统设计专题实验,数据库系统,编译器设计专题实验,计算机组成,计算机组成与结构专题实验,计算机网络专题实验,计算机网络原理
89,86,98,86,89,80,83,87,82
75,86,87,83,74,87,85,79,82
84,83,92,75,87,80,98,98,82
83,86,92,88,88,83,88,92,82
79,90,77,76,82,81,79,88,82
83,80,98,78,84,81,87,92,82
72,79,92,83,84,83,80,92,82
67,90,79,76,82,68,75,90,82
68,90,87,72,81,81,80,90,82
73,78,92,80,85,70,95,98,82
0,85,98,81,82,64,75,87,82
81,95,98,86,82,83,95,83,82
84,90,98,84,83,87,92,87,82
66,79,92,68,85,79,79,76,82
67,80,98,76,90,80,70,83,82
66,86,92,81,71,78,90,87,82
64,85,95,77,86,78,81,85,82
71,88,62,60,85,66,73,83,82
78,81,87,86,70,80,84,87,81
86,92,98,84,84,73,88,98,81
75,85,98,85,80,81,95,92,81
86,87,98,91,89,83,98,98,81
77,87,98,60,90,60,60,98,81
79,86,88,76,88,78,90,90,81
91,89,90,83,70,82,75,87,81
84,86,83,81,73,82,97,92,81
84,83,94,84,80,82,85,94,81
87,89,98,83,82,85,88,87,81
85,87,87,75,84,85,95,83,81
74,81,92,82,92,86,79,76,81
82,82,92,82,79,82,72,89,81
83,84,98,90,87,94,87,98,81
78,84,92,77,85,77,90,90,81
78,97,92,87,86,90,88,92,81
76,90,93,68,86,73,90,89,81
78,90,98,76,78,90,83,92,81
81,83,92,85,85,76,95,70,81
82,78,92,83,80,83,94,87,81
78,83,92,77,80,69,98,83,81
78,91,87,80,78,88,85,87,81
73,80,98,78,78,70,95,87,81
77,83,94,79,87,84,88,94,81
77,92,98,73,85,92,98,98,81
79,86,92,74,79,89,79,76,81
77,75,92,72,72,75,79,87,81
68,85,86,65,85,61,79,85,81
79,85,92,85,76,89,70,76,81
65,65,76,80,74,77,90,79,81
79,73,87,81,70,81,90,87,81
76,83,98,84,88,77,98,98,81
82,90,98,79,83,85,90,83,81
63,82,98,74,83,77,83,76,81
0,81,0,67,0,0,0,0,81
81,84,98,86,88,90,83,87,80
84,86,98,81,94,87,97,83,80
82,86,98,87,81,82,87,87,80
78,85,98,83,85,81,87,98,80
70,92,98,79,90,90,98,98,80
74,86,92,80,82,89,83,92,80
93,90,98,85,88,79,91,87,80
79,88,98,87,94,89,98,83,80
82,80,87,80,76,81,95,87,80
84,81,83,84,83,77,77,87,80
61,83,98,80,83,78,83,79,80
83,87,84,82,79,72,78,85,80
67,87,92,78,78,85,79,92,80
82,86,98,85,98,94,98,83,80
85,86,98,80,76,82,97,92,80
81,88,92,82,78,82,81,87,80
75,87,98,74,90,92,85,92,80
70,79,98,78,85,90,83,83,80
77,66,87,64,75,82,95,92,80
74,85,87,78,82,71,73,87,80
83,89,98,86,84,82,85,87,80
74,85,92,81,82,71,85,79,80
0,84,92,85,84,73,76,87,80
83,87,93,66,81,72,87,89,80
64,81,83,80,76,80,95,76,80
74,87,92,88,78,75,95,92,80
60,94,92,73,79,75,83,83,80
81,78,98,81,78,78,83,87,80
78,93,92,76,85,84,90,90,80
62,88,92,78,80,84,92,92,80
78,81,91,76,87,84,88,87,80
71,83,92,83,89,83,79,76,80
60,71,92,70,79,70,83,83,80
74,77,87,76,73,80,95,87,80
63,72,92,75,79,75,79,83,80
89,83,92,82,81,91,92,87,80
61,85,98,73,90,87,79,76,80
77,83,92,79,87,84,73,92,80
64,91,92,76,86,73,97,92,80
62,70,87,61,80,61,68,86,80
68,83,92,78,66,84,95,87,80
78,86,98,84,84,91,92,92,80
0,79,92,79,82,65,63,87,80
73,78,83,80,80,69,73,83,80
92,96,97,78,86,84,80,89,79
81,87,98,86,89,94,92,87,79
0,88,87,86,84,76,73,87,79
86,80,92,88,90,82,81,87,79
84,94,96,89,81,92,86,92,79
84,97,92,80,71,67,79,87,79
64,87,92,79,90,83,92,79,79
68,83,87,85,72,85,95,83,79
70,87,94,81,90,78,85,92,79
69,80,92,81,74,81,85,83,79
84,79,92,88,82,75,80,87,79
74,92,92,82,85,82,92,79,79
68,85,83,74,72,75,79,87,79
75,82,98,85,71,65,83,83,79
74,74,92,82,66,83,95,83,79
78,88,62,82,71,80,70,79,79
65,78,92,80,86,77,92,87,79
70,79,92,83,80,76,75,87,79
73,81,92,70,85,81,79,76,79
64,83,92,75,86,82,79,76,79
81,85,92,78,79,80,73,87,79
78,85,87,76,70,66,83,87,79
74,76,92,84,87,80,0,0,79
78,80,92,73,84,88,83,87,78
