大学物理II-2,大学物理实验I-1,操作系统设计专题实验,数字逻辑电路,概率统计与随机过程,电路,离散数学a,线性代数与解析几何
94,92,92,87,79,84,86,0
77,0,0,66,0,84,0,0
91,98,92,83,89,84,82,84
94,83,0,87,97,84,93,100
0,87,79,76,63,84,76,76
95,84,96,79,84,84,95,93
88,87,92,81,82,84,89,88
61,79,70,75,72,84,67,65
86,85,98,69,78,84,75,78
75,73,92,72,75,84,80,82
0,0,0,0,0,84,0,0
89,86,92,84,69,84,60,80
83,98,92,66,72,83,76,74
90,79,92,83,88,83,85,85
87,85,92,72,77,83,84,90
93,88,90,85,87,83,95,96
63,84,98,73,68,83,60,77
93,87,98,89,66,83,88,0
83,87,98,88,74,83,84,75
81,87,73,68,60,83,84,83
82,87,87,84,82,83,80,76
74,85,92,78,76,83,92,87
0,92,98,87,87,83,90,90
95,83,0,75,86,83,90,94
88,84,95,76,82,83,91,91
92,87,0,80,89,83,88,91
88,0,0,77,0,83,0,0
84,83,92,64,83,83,78,78
83,87,98,82,60,83,82,78
0,92,92,85,72,83,86,83
86,0,87,75,76,83,0,89
76,92,87,77,84,83,81,80
84,85,98,89,73,83,87,83
81,83,92,75,76,83,94,81
80,83,94,77,81,83,73,91
86,87,0,83,85,83,90,91
89,85,98,89,74,83,89,93
78,87,92,82,65,83,87,73
86,79,98,83,76,83,91,85
85,87,92,86,83,83,91,0
91,87,98,86,82,83,84,84
0,92,98,85,88,83,89,74
79,80,91,74,86,83,99,89
87,87,0,91,79,83,95,90
87,84,93,82,83,83,81,90
88,87,87,90,86,82,89,0
83,79,98,91,74,82,82,81
86,98,0,67,83,82,82,93
77,87,87,86,68,82,69,82
88,83,92,71,60,82,87,73
96,87,0,71,81,82,87,84
0,92,98,89,88,82,99,82
88,87,92,91,84,82,82,0
86,82,97,74,90,82,86,93
87,87,98,90,88,82,93,0
74,87,87,75,75,82,80,78
97,79,91,82,91,82,96,94
75,87,98,85,72,82,82,90
90,87,98,82,84,82,69,84
90,92,0,90,95,82,90,98
96,90,98,91,94,82,94,92
87,83,0,0,82,82,80,84
78,79,83,80,78,82,90,92
94,84,92,76,93,82,66,85
80,84,90,78,86,82,68.5,80
82,90,0,82,76,82,85,81
87,86,88,85,89,82,91,90
88,80,92,78,76,82,89,87
80,87,98,90,80,82,80,85
85,87,92,84,61,82,78,86
92,83,0,78,74,82,79,91
80,92,0,81,70,82,88,0
83,92,92,77,80,82,84,96
84,98,0,92,86,82,90,90
73,0,64,60,71,82,69,65
85,83,92,71,79,82,72,69
79,87,0,0,0,82,87,92
87,86,92,78,77,82,79,88
85,85,83,90,73,81,84,87
82,80,93,66,82,81,80,95
90,85,92,88,81,81,86,84
76,87,92,74,70,81,84,69
83,83,92,66,77,81,86,87
83,92,30,66,65,81,73,83
0,92,98,89,86,81,90,83
0,87,98,62,68,81,75,84
0,79,87,89,69,81,92,87
78,83,83,84,83,81,87,86
80,92,62,69,71,81,72,90
0,85,93,83,81,81,71,86
80,92,87,82,67,81,73,69
76,92,87,88,78,81,87,74
89,87,79,87,75,81,89,0
0,92,98,76,66,81,89,76
71,80,98,81,85,81,83,84
84,83,92,82,74,81,85,75
85,85,92,82,67,81,80,66
97,87,98,86,87,81,85,81
86,92,83,68,68,81,82,91
88,88,92,67,60,81,63,83
87,87,83,88,77,81,89,88
92,84,85,61,81,81,87,91
0,83,0,79,83,81,80,85
83,92,0,72,74,81,74,76
90,87,0,75,78,81,90,94
79,87,0,61,69,81,85,94
70,86,98,82,87,81,73,77
83,92,0,76,73,81,86,90
85,85,88,79,74,81,78,87
81,87,92,84,80,81,75,75
0,87,98,91,74,81,89,82
0,92,87,76,75,81,74,70
88,83,94,78,87,81,92,94
74,65,98,71,68,81,70,80
0,87,87,70,60,81,74,78
83,83,92,79,75,81,84,80
0,0,0,89,0,81,0,0
86,87,92,72,78,81,87,82
76,92,83,60,77,80,78,85
81,92,0,72,67,80,84,65
79,83,70,84,66,80,89,81
73,89,79,75,77,80,67,82
0,83,87,67,79,80,81,88
0,92,92,70,73,80,83,74
81,86,94,61,71,80,92,90
69,81,92,80,78,80,80,60
83,83,62,69,78,80,77,75
90,89,98,82,73,80,84,77
91,92,83,82,76,80,82,89
88,87,80,85,77,80,81,74
0,87,87,69,71,80,79,77
0,92,87,83,83,80,83,83
84,84,92,83,91,80,85,85
69,86,98,82,73,80,72,76
93,98,92,73,77,80,93,82
93,84,90,85,93,80,91,92
82,85,92,87,80,80,86,85
85,83,0,73,79,80,75,93
84,0,92,77,82,80,83,67
88,84,92,63,96,80,78,96
81,0,92,84,87,80,74,91
91,98,0,77,93,80,91,92
0,83,92,68,69,80,73,89
87,87,92,88,85,80,88,0
87,87,92,76,74,80,60,78
82,84,93,70,82,80,85,88
89,87,0,71,75,80,85,80
89,91,92,83,85,80,91,89
88,87,98,73,80,80,87,95
78,0,61,67,71,80,80,92
94,98,98,89,78,80,88,89
94,87,0,75,91,80,92,90
77,80,68,74,62,80,71,84
73,79,83,60,68,80,75,80
78,92,92,77,81,80,87,76
90,92,0,79,91,80,91,96
86,87,92,85,82,80,80,87
0,92,92,71,80,80,71,91
86,0,30,0,0,80,82,0
62,80,98,63,80,80,69,80
84,87,92,80,88,80,87,79
85,87,87,91,86,79,88,96
87,87,87,68,66,79,86,81
87,83,0,80,88,79,85,94
89,89,92,71,81,79,66,80
86,87,0,75,75,79,87,84
62,81,30,23,70,79,73,78
82,85,92,71,68,79,80,78
74,82,76,68,73,79,72,71
88,87,0,78,73,79,78,91
76,87,0,63,75,79,82,81
0,87,0,76,89,79,78,88
89,83,0,76,80,79,83,85
73,81,92,70,77,79,68,79
86,76,98,76,84,79,84,83
87,87,98,74,82,79,95,80
81,81,92,74,66,79,86,92
88,83,0,78,77,79,90,92
89,87,87,83,69,79,82,90
77,87,92,90,79,79,79,92
0,92,92,73,73,79,83,93
84,98,87,80,76,79,93,87
78,84,92,76,73,79,66,81
82,98,76,71,71,79,80,86
74,73,98,80,73,79,87,92
0,79,98,63,76,79,65,96
86,87,92,83,64,79,80,96
82,87,92,69,67,79,84,83
93,87,0,87,80,79,90,94
85,98,98,87,94,78,88,94
80,87,98,89,80,78,77,80
86,87,76,84,66,78,91,85
0,87,98,68,76,78,69,74
75,92,83,60,55,78,64,80
81,83,92,68,87,78,72,94
81,92,87,86,74,78,90,90
70,0,87,76,66,78,83,70
74,83,87,78,73,78,91,86
0,92,92,79,60,78,78,85
