人工智能,优化方法基础,大学物理II-1,大学物理II-2,大学物理实验I-1,大学物理实验I-2,大学英语i,大学英语iii1,大学英语iii2,大学计算机iii,工程制图,形式语言与编译,操作系统原理i,操作系统设计专题实验,数字逻辑电路,数学建模ii,数据库系统,数据结构与程序设计专题实验,数据结构与算法i,数理逻辑,概率统计与随机过程,模拟电子技术,模拟电子技术基础,汇编语言,电子技术实验1,电子技术实验2,电路,离散数学a,程序设计基础,算法分析与设计,线性代数与解析几何,编译器设计专题实验,计算机图形学,计算机科学技术导论,计算机系统综合设计实验,计算机组成,计算机组成与结构专题实验,计算机网络专题实验,计算机网络原理,软件定义网络,软件工程,面向对象程序设计,高等数学I-1,高等数学I-2
0,0,89,78,87,92,86,0,0,89,75,0,0,0,86,93,0,87,91,0,80,97,0,0,92,83,88,95,90,92,89,0,0,87,0,0,0,0,0,0,0,91,81,75
0,84,82,80,83,64,0,74,63,0,83,68,90,87,69,0,72,0,0,0,75,0,93,83,70,83,65,73,83,86,64,81,82,74,62,81,80,90,82,90,68,87,60,78
72,92,96,83,83,87,0,72,80,0,81,84,86,98,83,0,81,87,85,90,92,0,89,89,92,92,91,93,99,0,98,94,90,93,92,87,97,83,80,0,81,94,97,92
83,0,88,85,83,87,78,0,0,0,0,87,86,92,83,83,80,83,77,0,64,94,0,0,87,87,89,75,99,82,81,84,0,93,0,84,70,87,84,0,0,91,73,81
0,0,62,67,85,88,0,81,79,0,67,65,90,90,61,65,69,0,0,0,63,0,75,73,80,79,67,60,77,79,76,79,82,65,70,60,85,91,77,81,79,81,69,84
0,0,93,0,92,0,0,0,0,76,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,96,0,0,91,0,0,0,0,0,0,0,0,89,88
67,79,68,69,80,82,0,80,75,0,72,60,68,83,77,0,61,0,61,71,63,0,79,77,76,83,73,63,75,82,60,75,0,83,83,68,79,73,60,70,70,78,63,74
39,0,77,0,0,79,0,0,0,0,0,39,61,30,60,66,60,0,0,69,45,0,63,32,62,0,60,76,0,51,70,0,61,79,30,60,30,62,60,10,34,61,0,0
80,69,77,77,88,92,0,83,87,0,66,72,83,92,81,0,73,87,70,0,72,0,74,79,87,92,70,74,92,0,84,81,82,94,85,86,92,76,83,88,77,80,80,78
0,0,63,74,80,81,0,77,70,0,63,60,79,81,79,70,65,0,0,82,61,0,72,63,80,76,60,60,75,77,61,86,75,74,62,60,78,88,64,77,66,66,60,84
0,64,65,69,90,92,0,72,74,0,61,63,72,92,66,0,75,79,82,77,70,0,60,83,83,83,88,70,91,69,77,79,70,89,88,75,79,83,80,87,71,80,66,70
90,93,82,73,89,98,0,76,84,0,62,74,80,79,75,0,73,83,75,87,77,0,73,81,92,79,80,67,78,77,82,82,94,90,88,71,62,79,85,88,67,77,77,77
0,0,94,76,87,76,80,0,0,60,78,0,0,0,67,0,0,83,85,0,73,49,0,0,83,30,69,74,94,78,86,0,0,86,0,0,0,0,0,0,0,86,85,78
85,95,94,78,94,90,0,82,83,0,90,85,89,98,86,0,81,0,84,98,85,0,91,95,92,79,100,88,95,90,91,80,0,96,92,84,98,98,85,85,87,94,90,85
65,69,65,68,79,85,0,77,77,0,60,61,80,98,67,0,77,0,69,78,83,0,86,75,79,81,60,68,83,82,64,97,77,83,83,78,79,87,66,68,76,96,61,70
0,0,92,93,79,83,0,0,0,72,84,0,0,0,84,92,0,87,96,0,94,95,0,0,87,83,95,88,96,92,94,0,0,0,0,0,0,0,0,0,0,94,77,88
89,86,74,80,79,86,0,77,80,0,60,76,83,92,78,0,75,0,71,88,90,0,90,85,79,88,89,79,83,88,92,78,0,85,92,94,98,92,83,97,85,86,87,87
78,89,88,92,79,82,0,84,84,0,0,83,82,79,72,0,77,0,0,0,92,0,94,79,80,87,87,90,0,90,96,85,0,84,83,71,83,86,71,84,70,0,0,0
0,0,88,0,83,0,70,0,0,85,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,84,0,0,91,0,0,0,0,0,0,0,0,85,81
84,0,89,92,83,92,75,0,0,75,60,69,89,83,76,92,78,92,81,0,87,66,0,0,79,81,89,86,75,77,80,77,0,89,76,77,85,87,82,0,0,87,83,68
75,0,0,0,83,79,0,74,78,0,89,77,66,87,67,97,64,85,78,91,79,0,74,60,87,87,80,81,89,0,88,75,86,81,87,82,95,92,80,75,74,74,90,67
0,79,92,90,92,92,0,82,86,0,0,81,94,98,90,97,92,96,84,98,78,0,88,88,98,92,89,91,100,84,87,96,98,0,98,91,97,98,92,94,79,95,80,85
0,86,67,63,84,84,0,74,79,0,90,75,86,96,81,0,75,0,0,73,79,0,63,86,80,92,60,67,89,85,70,79,75,90,92,66,80,86,68,0,71,92,60,68
66,0,0,0,0,0,0,0,0,0,0,74,0,75,60,80,67,87,0,61,0,65,0,68,70,80,60,0,0,77,0,70,0,0,70,70,69,85,61,76,78,0,0,86
0,0,99,98,98,98,0,0,0,0,0,0,0,0,85,97,0,87,94,0,97,96,0,0,98,98,90,97,100,0,97,0,0,0,0,0,0,0,0,0,0,94,89,93
92,0,97,96,92,92,73,0,0,0,0,73,91,92,72,89,83,79,80,0,98,68,0,93,87,79,87,91,100,79,94,77,0,82,76,85,76,92,84,0,0,98,84,91
0,0,0,0,92,0,85,0,0,83,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,99,0,0,89,0,0,0,0,0,0,0,0,96,97
81,76,0,0,92,92,85,0,0,77,80,83,78,92,70,0,82,92,73,0,73,88,0,0,92,79,80,83,79,79,74,82,0,92,0,89,82,87,70,0,0,72,69,76
0,0,90,83,79,83,0,73,78,0,0,77,79,98,91,96,85,95,90,88,74,0,88,79,92,92,82,82,95,95,81,74,79,0,87,80,95,87,85,82,75,87,0,0
0,0,100,97,98,92,78,0,0,80,78,0,0,0,86,91,0,87,94,0,88,95,0,0,87,87,97,95,100,88,96,0,0,90,0,0,0,0,0,0,0,87,91,82
0,0,86,75,92,87,75,0,0,70,83,0,0,0,82,88,0,87,65,0,72,88,0,0,92,62,63,78,82,70,86,0,0,0,0,0,0,0,0,0,0,0,86,78
76,67,82,61,85,92,0,63,63,0,88,74,78,92,78,0,84,73,79,0,60,0,63,80,87,79,71,80,98,76,77,89,85,84,85,83,92,76,72,89,80,96,71,62
0,0,89,0,83,0,78,0,0,69,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,87,0,0,0,0,0,0,0,0,0,0,0,80,76
80,79,61,74,84,81,0,79,80,0,76,65,61,92,86,0,67,0,71,82,80,0,81,73,83,98,68,75,87,0,78,83,76,82,83,73,83,92,72,79,80,84,65,72
96,0,0,0,87,87,0,76,82,0,80,85,92,98,91,99,94,92,93,95,90,0,97,96,92,87,92,96,94,95,98,85,0,0,87,95,95,87,96,87,84,0,95,96
78,0,96,93,98,92,86,0,0,92,93,69,92,92,78,93,82,87,79,0,88,90,0,0,83,87,90,84,85,79,87,81,84,87,76,88,70,87,88,89,0,89,85,87
70,78,86,84,83,87,0,75,79,0,80,60,60,79,68,0,72,83,80,0,71,0,75,72,87,87,85,84,94,0,89,80,70,87,85,69,70,76,62,87,78,87,86,81
0,0,88,0,83,0,0,0,0,68,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,88,0,0,0,0,0,0,0,0,0,0,0,87,78
89,0,84,81,86,86,0,0,0,0,68,76,82,94,61,87,76,0,0,0,71,0,66,86,70,76,80,92,89,84,90,80,74,83,92,72,83,88,60,77,78,91,92,93
0,0,75,0,98,0,79,0,0,68,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,84,0,0,0,0,0,0,0,0,0,0,0,71,68
94,0,88,90,88,92,0,85,85,0,86,85,93,98,85,90,76,100,85,94,87,0,86,93,92,98,86,83,90,0,88,84,100,91,92,92,79,87,92,0,86,84,84,87
80,0,88,83,98,98,0,0,0,87,83,77,75,92,66,94,72,76,72,0,72,85,0,80,92,87,83,76,87,66,74,72,88,81,76,75,79,87,81,0,0,81,76,60
0,70,82,68,87,87,88,0,0,89,69,73,64,62,74,0,67,83,0,0,63,68,0,60,73,88,62,70,89,0,84,73,0,84,76,60,92,92,64,72,0,81,0,0
96,85,89,93,92,92,87,0,0,83,95,92,89,98,85,0,90,92,94,0,85,96,0,0,92,87,86,90,97,89,82,89,0,95,76,93,88,98,97,0,0,93,78,97
95,0,81,84,87,92,77,0,0,78,89,89,83,92,87,88,82,87,78,0,70,85,0,0,87,92,71,90,84,75,65,81,0,93,0,91,92,87,80,88,0,88,66,79
94,0,0,0,87,87,84,0,0,89,75,71,79,98,68,94,77,83,78,0,76,72,0,77,83,87,78,69,94,87,74,88,0,86,98,72,98,87,83,0,0,94,81,77
0,77,82,89,89,98,0,79,78,0,77,70,81,92,71,0,80,83,81,88,81,0,65,68,92,76,79,66,88,74,80,85,81,87,88,83,79,76,84,87,75,87,89,78
0,68,70,80,98,92,0,0,0,0,0,67,67,83,0,0,76,0,0,0,84,0,0,82,0,0,60,72,0,0,82,82,0,87,0,70,88,87,60,0,0,0,0,0
0,0,0,0,83,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,89,85
80,62,79,91,0,0,70,0,0,62,72,61,65,0,62,79,60,0,70,0,90,87,0,0,30,0,62,30,70,80,93,80,0,60,0,62,0,0,86,0,0,66,82,69
0,0,93,94,92,92,0,0,0,0,0,0,0,0,88,94,0,87,93,0,94,99,0,0,92,87,90,94,0,89,87,0,0,0,0,0,0,0,0,0,0,93,75,90
0,0,96,86,98,98,75,0,0,71,87,0,0,0,67,92,0,87,82,0,83,68,0,0,87,87,82,82,71,76,93,0,0,90,0,0,0,0,0,0,0,80,80,91
0,0,87,0,92,0,0,0,0,77,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,71,0,0,93,0,0,0,0,0,0,0,0,62,84
71,73,60,60,86,85,0,0,0,0,82,63,72,92,62,0,65,0,62,72,63,0,60,76,79,81,53,73,93,83,62,88,83,89,83,73,92,92,67,60,70,87,67,68
0,0,91,86,87,87,76,0,0,88,84,0,0,0,75,0,0,87,91,0,75,93,0,87,87,76,79,87,76,85,84,0,0,91,0,0,0,0,0,0,0,93,80,71
61,0,80,75,92,87,0,0,0,91,73,57,61,83,60,85,68,79,77,0,55,71,0,0,92,87,78,64,86,70,80,70,80,81,10,53,76,92,65,82,0,0,82,68
84,0,92,77,87,87,78,0,0,83,97,78,83,92,85,88,77,79,87,0,78,80,0,87,92,87,91,83,97,78,86,80,83,87,76,69,98,83,81,0,0,93,80,81
0,0,95,91,98,98,79,0,0,89,95,0,0,0,93,96,0,98,100,0,98,98,0,95,92,87,88,96,100,91,95,0,0,0,0,0,0,0,0,0,0,96,93,86
92,0,84,94,92,98,80,0,0,74,78,88,96,92,85,85,86,83,77,0,90,89,0,0,83,79,94,89,86,89,76,85,0,93,0,93,80,87,93,0,0,96,84,82
94,0,89,84,83,79,78,0,0,70,71,75,92,92,91,90,77,87,84,0,87,94,0,87,79,83,87,82,75,72,83,84,0,70,76,86,85,87,92,0,0,90,88,89
